,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
17,Position,1,11.0712,106.5662,XT715240,6331-3,Obj 1. 3/11th ACR 11Jan67. Op Cedar Falls.,AD391484,
18,Checkpoint,1,11.7532,106.576,XT722994,6332-4,"Intersection of QL-13 and LTL-17 north of An Loc. Op El Paso II/III. This area was one of two main VC/PAVN crossing points alongQL-13, the other vic Tau O Bridge, XT7299. Roadblocks, ambushes, and small-arms harassing fire routine.",AD387606,
19,Landing Zone,1,10.9517,106.6443,XT801108,6330-4,B/3/22nd Inf 30May68.,1/8 Arty DSJ,
20,Artillery Position,1,11.046,106.7473,XT913213,6331-2,B/2/34th Armor 28Jul67. Engineer basecamp 1. Route Orange.,AD389131,
21,Artillery Position,1,11.0451,106.7491,XT915212,6331-2,"BC-1. B/2/34th Armor, B/1st EBn, A/168th EBn (Cbt) Jul67.",,
22,Artillery Position,1,11.0433,106.7528,XT919210,6331-2,"BC-1. 2/2nd Inf (M), A-/5/2nd Arty (AW)(SP), B/1st EBn, A/168th EBn (Cbt) 19Jul-19Aug67. Op Paul Bunyan.","AD389131, AD389325",
23,Fire (Support)(Support Patrol) Base,1,11.1111,106.7579,XT924285,6331-2,"aka FSB Alpha, LZ X-Ray. 17,22May67.",,
24,Landing Zone,1,11.7693,106.5811,XU727012,6332-4,2-/18th Inf 30Jun66. Op El Paso III.,"AD387606, AD385847",
25,Landing Zone,1,13.7877,107.4721,YA677253,6536-4,A/2/20th Arty (ARA) laager/base 10-12Jan66. Op Matador.,567,
26,Artillery Position,1,13.7868,107.473,YA678252,6536-4,B/2/19th (Abn) Arty (105mm)(T) 10Jan66. Op Matador.,376,
27,Fire (Support)(Support Patrol) Base,1,14.0037,107.5558,YA765493,6537-3,"First 1/12th Inf FSB of 1967. C/1/12th Inf, B/4/42nd Arty (105mm)(T), 4.2"" MP, B-/4th EBn 2Jan67. Also 767495.","621, 624",
28,Landing Zone,1,13.8635,107.6541,YA873339,6536-4,C/1/12th Cav 4Jan66. Op Matador. Also 872356.,376,
29,Landing Zone,1,13.564,107.6921,YA918008,6536-3,1/7th Cav 4Apr66.,AD824627,A
30,Landing Zone,1,14.0887,107.7141,YA935589,6537-3,ARP/C/1/9th Cav 18Jun66. Op Rattle. In the Punchbowl. Overlay labels this LZ 1C.,AD844158,
31,Fire (Support)(Support Patrol) Base,1,13.5632,107.76,YA991008,6536-2,3/5th Cav.,,
32,Landing Zone,1,14.8264,107.6824,YB891405,6538-4,35th Inf 17Apr-1May66. Op Longfellow.,3/25 ID AAR,
33,Fire (Support)(Support Patrol) Base,1,15.6609,107.7385,YC940330,6540-3,Hill 544. USMC.,,
34,Fire (Support)(Support Patrol) Base,1,15.6609,107.7422,YC944330,6540-3,Hill 544. USMC.,,
35,Observation Post,1,15.4466,107.7805,YC987094,6539-1,"Hill 740 (contour) overlooking Kham Duc from the northwest. CIDG and US (one squad from E/2/1st Inf) overrun 12May68. AlsoOP 2 (196th LIB 11May68). 1X 106mm RR. Rectangular fortification 100' X 250' with small LZ outside the north end.","637, 638, 639, 640",
36,Position,1,16.8734,106.8969,YD025662,6342-1,Obj 1. ARVN 1/2 Rgt 30Mar69. Op Montana Mauler. On Foxtrot Ridge.,"83, 279",
37,Fire (Support)(Support Patrol) Base,1,16.4478,106.9969,YD137192,6441-4,aka FSB Razor. USMC.,,
38,Observation Post,1,16.3451,107.6622,YD848086,6541-4,aka OP Hill 230. USMC (Hill 225).,,
39,Fire (Support)(Support Patrol) Base,1,10.7184,107.2326,YS446854,6430-3,"TOC,B/3/5th Cav, A/7/9th Arty (105mm)(T), 1/919th ECo 6-10Aug67. N of Nui Dat.",293,
40,Fire (Support)(Support Patrol) Base,1,10.7238,107.2345,YS448860,6430-3,A/7/9th Arty (105mm)(T) 6Aug67.,AD387472,
41,Fire (Support)(Support Patrol) Base,1,10.6587,107.2394,YS454788,6430-3,108 FB RAA 10Jan68. Op Duntroon (Akron V).,10,
42,Landing Zone,1,10.8178,107.572,YS817967,6530-4,aka FSPB Wildcat. 2/47th Inf (M) 3Nov67. Op Santa Fe.,AD389815,
43,Outpost,1,10.8666,106.8534,YT030015,6330-1,"Outpost 1, An Xuan Ville. B/720th MP Bn.",185,
44,Fire (Support)(Support Patrol) Base,1,14.1196,107.8733,ZA107625,6537-2,3/5th Cav.,,
45,Landing Zone,1,13.8294,107.9514,ZA195305,6537-1,C-/4/503rd Inf (Abn) 3Jun67. Op Francis Marion.,346,A
46,Landing Zone,1,13.8221,107.9587,ZA203297,6537-1,C-/4/503rd Inf (Abn) 4Jun67. Op Francis Marion.,346,A
47,Fire (Support)(Support Patrol) Base,1,14.6524,107.7821,ZB001214,6538-2,HHB/1/92nd Arty (155mm)(T) Jul68. Dak To.,3,
48,Fire (Support)(Support Patrol) Base,1,14.6533,107.784,ZB003215,6538-2,FCP/1/92nd Arty (155mm)(T) Nov69. Dak To AF.,"178, 704",
49,Fire (Support)(Support Patrol) Base,1,14.6551,107.784,ZB003217,6538-2,C-/1/92nd Arty (155mm)(T) 8May70. Dak To AF.,55,
50,Fire (Support)(Support Patrol) Base,1,14.6534,107.7851,ZB004215,6538-2,"aka FSB Dak To. 1/92nd Arty (155mm)(T), 1/22nd Inf ’68-69. Also 010215. Also 1/4th ID Hq Feb, Mar68.","3, 280, 500, 694",
51,Fire (Support)(Support Patrol) Base,1,14.6542,107.7849,ZB004216,6538-2,"A/1/92nd Arty (155mm)(T) 3Aug, B-/6/14th Arty (175mm/8"")(SP) 30Apr69. Dak To.","706, AD508054",
52,Fire (Support)(Support Patrol) Base,1,13.7516,107.7744,ZB004217,6536-2,"1/4th ID Apr69, C/1/92nd Arty (155mm)(T) 24Jun69. Dak To.","174, 704, AD504855",
53,Fire (Support)(Support Patrol) Base,1,14.6542,107.7859,ZB005216,6538-2,"4-/503rd Inf (Abn) Jun67. Op Greeley. B/6/14th Arty (175mm/8"")(SP) Jul69. Dak To.","280, 415, 704",A
54,Fire (Support)(Support Patrol) Base,1,14.6551,107.7859,ZB005217,6538-2,"1/92nd Arty (155mm)(T) Meteorology, FCP Apr, Jul69.","280, 704",
55,Fire (Support)(Support Patrol) Base,1,14.656,107.7859,ZB005218,6538-2,C/1/92nd Arty (155mm)(T) 25Jan68. Dak To.,28,
56,Fire (Support)(Support Patrol) Base,1,14.6551,107.7868,ZB006217,6538-2,"C/4/42nd Arty (105mm)(T) 15Dec68. Dak To. Also 6/29th Arty (105mm)(T) CP Mar, 3/319th (Abn) Arty (105mm)(T) 1Feb68.","500, 694, AD501718",
0,Fire (Support)(Support Patrol) Base,1,14.6569,107.7868,ZB006219,6538-2,"C/6/14th Arty (175mm/8"")(SP) 12Oct67. Dak To.",AD387519,
1,Fire (Support)(Support Patrol) Base,1,14.6541,107.7877,ZB007216,6538-2,"B/6/29th Arty (105mm)(T) 12Dec68, A/3/6th Arty (105mm)(SP) 30Apr69. Dak To.","706, AD501718",
2,Fire (Support)(Support Patrol) Base,1,15.972,107.9154,ZC125677,6540-1,USMC.,324,
3,Landing Zone,1,15.7698,107.975,ZC192454,6540-1,"Hill 214, FB Cudgel, Pike. 1st MarDiv Jan69.",335,
4,Fire (Support)(Support Patrol) Base,1,10.7481,107.8827,ZS159893,6530-2,"Pos/LZ 1. 3-/319th (Abn) Arty (105mm)(T), 1/503rd Inf (Abn) 12Apr66. Op Austin. vic Ham Tan.",4,
5,Landing Zone,1A,13.9367,107.4848,YA689418,6436-1,2/5th Cav 2Jun66. Op Paul Revere.,140,
6,Landing Zone,1A,14.1029,107.6495,YA862598,6537-3,1/9th Cav Jun66. Op Rattle. Grid from overlay.,AD844158,
7,Landing Zone,1C,10.9396,106.3453,XT473092,6230-1,2/27th Inf ’66.,,
8,Riverine Assault Landing Zone,1-6,10.3829,106.265,XS389477,6229-1,Beach LZ 1-6. B/3/47th Inf (Riv) 19Dec67. Op Tiger Coronado IX.,5,
9,Landing Zone,2,11.1441,108.0321,AN763332,6631-3,"B/1/50th (M) Inf 13Oct69. Also C/1/50 763337, 760333.",1/50 Inf DSJ,
10,Landing Zone,2,13.2285,108.0196,AQ775640,6635-3,10Feb66.,,
11,Artillery Position,2,12.7143,108.0766,AQ830070,6634-3,"C/7/15th Arty (175mm/8"")(SP) 14-20Mar68. North of BMT.",AD391531,
12,Checkpoint,2,13.8063,108.0042,AR765280,6636-4,D/1/9th Cav 20Aug66. Op Paul Revere II. QL-14 vic FSB Barbara.,6,
13,Observation Post,2,14.4547,108.0863,AR864997,6637-4,Hill 1227. NE of Kontum. 4th ID.,AD501718,
14,Landing Zone,2,16.1191,108.0655,AT866840,6641-3,E-/2/3rd Marines 12Aug65.,2/3 Marines CC,
15,Observation Post,2,16.1174,108.1284,AT933837,6641-3,aka OP Nam O. Da Nang.,,
16,Landing Zone,2,11.4153,108.9955,BN819623,6731-1,9Mar67.,,
17,Landing Zone,2,12.4138,109.0173,BP850729,6833-4,16Apr67.,,
18,Landing Zone,2,14.0404,108.5768,BR388532,6737-3,"C-/1/12th Cav 9Apr67. Op Dazzlem. Also LZ Zulu same report, typo.",AD388139,
19,Landing Zone,2,13.9936,108.7642,BR590478,6736-1,aka Hill 814. 14Dec65.,,
20,Landing Zone,2,14.0777,108.8929,BR730570,6737-2,Dec65.,,
21,Landing Zone,2,14.266,108.8969,BR736778,6737-1,30Oct66.,,
22,Landing Zone,2,14.2747,109.1108,BR967786,6837-4,C/2/5th Cav 16Mar67. Op Pershing.,672,
23,Observation Post,2,15.1097,108.5717,BS395716,6739-3,Troung Han Ville. Also Ha Thanh OP 2.,198 LIB DSJ 1Feb71,
24,Observation Post,2,15.2562,108.6379,BS468877,6739-4,Also OP George.,,
25,Observation Post,2,15.2436,108.6436,BS474863,6739-3,"Hill 141. aka OPs M-24, George, An Hoa. 3/18th Arty (175mm/8"")(SP) Oct67.","539, 542, AD388844",
26,Observation Post,2,15.363,108.6861,BS521995,6739-4,USMC.,,
27,Landing Zone,2,14.8378,108.7205,BS552413,6738-4,C-/4/3rd Inf 3Jan71. South of Minh Long.,4/3 Inf OPORD 1-71,
28,Observation Post,2,15.33343,108.72714,BS56489615,6739-4,Hill 70. 3/12th Marines OP 9Jun65. Later LZ Gator.,3/12 Marines CC,
29,Checkpoint,2,15.3559,108.8297,BS675986,6739-1,Hill 77. A/1/7th Marines 24Aug65. Op Starlite. Also USMC OP during Op Mobile May66.,"7, 1 MarDiv CC",
30,Landing Zone,2,14.5018,109.0282,BS880038,6837-4,2-/7th Cav 26Jan66. Op Masher.,11,
31,Observation Post,2,15.5268,108.387,BT202179,6640-2,Hill 97. B/5/46th Inf 26Aug68. Op Burlington Trail.,,
32,Observation Post,2,15.41459,108.70487,BT54180516,6739-4,CLCB. 3/12th Marines Jun65. Elev. 9.8m.,3/12 Marines CC,
33,Landing Zone,2,13.2728,109.1631,CQ015677,6835-4,Rcn/1/8th Cav 26Jun66. Op Nathan Hale.,171,
34,Landing Zone,2,13.2728,109.1631,CQ071714,6835-4,"Rcn/1/8th Cav 26Jun66. Op Nathan Hale. Also FSB Crossroads, A/6/32nd Arty (175mm/8"")(SP) Apr67.","171, AD389977",
35,Landing Zone,2,16.5488,106.4848,XD589299,6242-2,See FSB Brick.,,
36,Landing Zone,2,10.6421,106.3346,XS464764,6230-2,ARVN 25 ID 18Apr66.,"392, AD391696",
37,Landing Zone,2,10.677,106.5076,XS652813,6330-3,4/23rd Inf (M) 2Dec66. Op Lanikai. Grid from map.,343,A
38,Landing Zone,2,10.6577,106.5176,XS663782,6330-3,4/23rd Inf (M) 17Nov66. Op Lanikai. Grid from map.,343,A
39,Landing Zone,2,10.5943,106.5365,XS685712,6330-3,4/23rd Inf (M) 20Nov66. Op Lanikai. Grid from map.,343,A
40,Landing Zone,2,10.6314,106.5458,XS695753,6330-3,4/23rd Inf (M) Nov66. Op Lanikai. Grid from map.,343,A
41,Landing Zone,2,10.6882,106.546,XS695816,6330-3,C-/4/9th Inf CA 27Dec66. Op Fairfax.,AD394027,
42,Landing Zone,2,10.6679,106.6281,XS785794,6330-3,A-/4/9th Inf CA 10Dec66. Op Fairfax.,AD394027,
43,Position,2,10.4318,106.8114,XS987534,6329-1,Obj 2. C/3/47th Inf (Riv) 14Aug67. Op Tiger Coronado III. RSSZ.,2,
44,Fire (Support)(Support Patrol) Base,2,11.5099,105.9415,XT031722,6131-1,"2/12th Inf CP 11Feb67. Op Gadsden. Looks like the arty position at Obj 2 was FSB Charlie, XT015724.",575,
45,Fire (Support)(Support Patrol) Base,2,11.5035,105.9424,XT032715,6131-1,"Objective 2. 2/12th Inf (4Feb), CP,B/2/77th Arty (105mm)(T) 3-12Feb, Alpha battery 4-12Feb67. Op Gadsden.",575,
46,Fire (Support)(Support Patrol) Base,2,11.5008,105.9433,XT033712,6131-1,"Objective 2. A/3/82nd Arty (105mm)(T) 2Feb, CP,C/3/82nd 3Feb, A/2/77th Arty (105mm)(T) 4Feb67. Op Gadsden.",577,
47,Fire (Support)(Support Patrol) Base,2,11.5053,105.9443,XT034717,6131-1,"Objective 2. 1/5th Inf (M), 4/31st Inf, 3/82nd Arty (105mm)(T) 2Feb67. Op Gadsden. Later site of FSB Hannas.",577,
48,Landing Zone,2,11.3369,106.0282,XT127531,6231-4,A/2/1st Inf 28Jan67.,,
49,Fire (Support)(Support Patrol) Base,2,11.6385,106.1611,XT270865,6232-3,"Elevation 33m. B/1/8th Arty (105mm)(T), 1/5th Inf (M), 2/2nd Inf (M) 15-25Nov66. Op Attleboro. Also 275863, 272861, 2686.","AD387619, AD387623, AD387618",
50,Fire (Support)(Support Patrol) Base,2,11.5614,106.1607,XT274778,6232-3,aka FSB II. 2/2nd Inf (M) 10Mar67. Grid from map.,AD390548,
51,Fire (Support)(Support Patrol) Base,2,11.5701,106.17,XT280790,6232-3,"aka FSB 2, PB 2. See Artillery Base (AB) II.",,
52,Landing Zone,2,10.9732,106.2991,XT423130,6230-1,4/23rd Inf (M) 3Jun66.,,
53,Landing Zone,2,11.3338,106.3368,XT463529,6231-1,B/1/27th Inf 3Nov66. Op Attleboro.,AD387619,
54,Landing Zone,2,11.1199,106.4563,XT595293,6231-2,2/14th Inf 15Jan70.,,
55,Fire (Support)(Support Patrol) Base,2,11.06891,106.46738,XT60702367,6231-2,"1-/5th Inf (M), B/3/21st Inf, B/3/82nd Arty (105mm)(T) 6Jan67. Op Cedar Falls.","579, AD391115",
56,Fire (Support)(Support Patrol) Base,2,11.15,106.49,XT6333,6231-2,2/11th ACR. Op Alcorn Cove Mar68. vic Mushroom. Grid from overlay.,8,
57,Landing Zone,2,11.2013,106.5178,XT661383,6331-3,1/16th Inf 9Jan67. Op Cedar Falls. Also 660382.,"710, AD391115",
58,Position,2,11.132,106.5519,XT699307,6331-3,"Engineer Base 2. B/168th EBn (Cbt) then (14Jan67) 1st EBn compound. Also 701311, 701310. Secured by elements 3/11th ACR.",AD391115,
0,Position,2,11.0711,106.5735,XT723240,6331-3,Obj 2. 3/11th ACR 11Jan67. Op Cedar Falls.,AD391484,
1,Landing Zone,2,11.5615,106.5802,XT728782,6332-3,1/18th Inf 17Mar67. Op Junction City I.,AD390548,
2,Checkpoint,2,11.7544,106.5832,XT730996,6332-4,LTL-17. Op El Paso II/III.,AD387606,
3,Landing Zone,2,10.95907,106.64241,XT79891162,6330-4,A/3/22nd Inf 30May68.,1/8 Arty DSJ,
4,Artillery Position,2,11.0974,106.7632,XT930270,6331-2,"A/168th EBn (Cbt) base camp 2. B/2/34th Armor, C/1/7th Arty (105mm)(T) 4Aug67.","AD389131, AD389325",
5,Artillery Position,2,11.0847,106.7787,XT947256,6331-2,A/168th EBn (Cbt) base camp 2. B/2/34th Armor 28Jul67.,168 CEB AAR,
6,Landing Zone,2,11.1715,106.781,XT949352,6331-2,22May67.,,
7,Landing Zone,2,11.771,106.577,XU722013,6332-4,B/2/18th Inf 30Jun66. Op El Paso II.,"AD387606, AD385847",
8,Fire (Support)(Support Patrol) Base,2,14.0477,107.4055,YA602540,6437-2,See FSB 501N.,,
9,Fire (Support)(Support Patrol) Base,2,13.6137,107.6153,YA834062,6536-3,"1/35th Inf CA LZ and CP, C/2/9th Arty (105mm)(T) 4-7Apr66. Op Lincoln. B/1/9th Cav laager during the Ia Drang campaign.",649,
10,Landing Zone,2,13.8637,107.6356,YA853339,6536-4,B/1/12th Cav 4Jan66. Op Matador.,376,
11,Landing Zone,2,13.9141,107.6683,YA888395,6536-4,18Apr66.,,
12,Landing Zone,2,14.0787,107.7167,YA938578,6537-3,ARP/C/1/9th Cav 18Jun66. Op Rattle. In the Punchbowl. Overlay labels this LZ 2C.,AD844158,
13,Landing Zone,2,16.2628,107.1613,YC314989,6441-3,3/187th Inf (Aml) CP 10May69. Op Apache Snow.,237,
14,Observation Post,2,15.4465,107.7894,YC998093,6539-1,"Kham Duc. Unoccupied in May68 when the camp was attacked and evacuated, as was OP 4.",637,
15,Fire (Support)(Support Patrol) Base,2,16.3959,107.042,YD185135,6441-4,aka Cunningham.,734,
